year,name,arrears,salary,total
2002,"Державне підприємство ""Горлівський хімічний завод""",1350000.0,8550000.0,9900000.0
2002,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",4850000.0,355000.0,5205000.0
2002,"Державне підприємство ""Дослідно-конструкторське бюро ""Промінь""",0.0,5000.0,5000.0
2002,"Державне підприємство ""Дослідно-конструкторське бюро авіації загального призначення""",77500.0,0.0,77500.0
2002,"Державне підприємство ""Жулянський машинобудівний завод ""Візар""",4550000.0,295000.0,4845000.0
2002,"Державне підприємство ""Завод імені В.О. Малишева"" ",48500000.0,7250000.0,55750000.0
2002,"Державне підприємство ""Закарпатське вертолітне виробниче об'єднання""",345000.0,305000.0,650000.0
2002,"Державне підприємство ""Зовнішньоторговельна фірма ""ТАСКО-експорт""",195000.0,5000.0,200000.0
2002,"Державне підприємство ""Київський науково-дослідний інститут гідроприладів""",1150000.0,475000.0,1625000.0
2002,"Державне підприємство ""Конструкторське бюро радіозв'язку""",1350000.0,865000.0,2215000.0
2002,"Державне підприємство ""Конструкторсько-технологічне бюро ""Судокомпозит""",635000.0,185000.0,820000.0
2002,"Державне підприємство ""Красилівський агрегатний завод""",4050000.0,325000.0,4375000.0
2002,"Державне підприємство ""Кіровоградський ремонтний завод""",735000.0,335000.0,1070000.0
2002,"Державне підприємство ""Луганський патрон""",17500.0,5000.0,22500.0
2002,"Державне підприємство ""Машинобудівна фірма ""Артем""",3450000.0,105000.0,3555000.0
2002,"Державне підприємство ""Науково-виробничий комплекс газотурбобудування ""Зоря"" - ""Машпроект""",145000000.0,5550000.0,150550000.0
2002,"Державне підприємство ""Науково-дослідний інститут ""Шторм""",1750000.0,835000.0,2585000.0
2002,"Державне підприємство ""Науково-дослідний інститут аеропружних систем""",1850000.0,415000.0,2265000.0
2002,"Державне підприємство ""Науково-дослідний інститут комплексної автоматизації""",2350000.0,125000.0,2475000.0
2002,"Державне підприємство ""Науково-технічний комплекс ""Завод точної механіки""",975000.0,495000.0,1470000.0
2002,"Державне підприємство ""Новатор""",9050000.0,745000.0,9795000.0
2002,"Державне підприємство ""Склопластик""",415000.0,285000.0,700000.0
2002,"Державне підприємство ""Спеціальне конструкторське бюро ""Спектр""",405000.0,415000.0,820000.0
2002,"Державне підприємство ""Спеціалізована зовнішньоторговельна фірма ""Прогрес""",3250000.0,12500.0,3262500.0
2002,"Державне підприємство ""Суднобудівний завод ім. 61 комунара""",16500000.0,2250000.0,18750000.0
2002,"Державне підприємство ""Тячівський завод ""Зеніт""",82500.0,325000.0,407500.0
2002,"Державне підприємство ""Український державний науково-дослідний інститут конструкційних матеріалів ""Прометей""",125000.0,245000.0,370000.0
2002,"Державне підприємство ""Український науково-дослідний конструкторсько-технологічний інститут еластомерних матеріалів і виробів""",1750000.0,105000.0,1855000.0
2002,"Державне підприємство ""Укроборонсервіс""",5650000.0,195000.0,5845000.0
2002,"Державне підприємство ""Феодосійський судномеханічний завод"" Міністерства оборони України",1650000.0,515000.0,2165000.0
2002,"Державне підприємство ""Харківське агрегатне конструкторське бюро""",2550000.0,115000.0,2665000.0
2002,"Державне підприємство ""Харківський завод транспортного устаткування""",2050000.0,1150000.0,3200000.0
2002,"Державне підприємство ""Харківський машинобудівний завод ""ФЕД""",17500000.0,725000.0,18225000.0
2002,"Державне підприємство ""Харківський приладобудівний завод ім. Т.Г. Шевченка""",21500000.0,1150000.0,22650000.0
2002,"Державне підприємство ""Херсонський завод суднового обладнання та суднової арматури""",1050000.0,72500.0,1122500.0
2002,"Державне підприємство ""Центральне конструкторське бюро ""Чорноморець""",1350000.0,72500.0,1422500.0
2002,"Державне підприємство ""Центральний науково-дослідний інститут навігації і управління""",1150000.0,275000.0,1425000.0
2002,Державне підприємство - Львівський науково-дослідний радіотехнічний інститут,3350000.0,3950000.0,7300000.0
2002,"Державне підприємство Виробниче об'єднання ""Луганський верстатобудівний завод""",10500000.0,3750000.0,14250000.0
2002,"Державне підприємство Завод ""Генератор""",8850000.0,965000.0,9815000.0
2002,Державне підприємство Конструкторське бюро лазерної техніки,205000.0,37500.0,242500.0
2002,Державне підприємство Макіївський державний проектний інститут,405000.0,245000.0,650000.0
2002,"Державне підприємство Міністерства оборони України ""45 експериментальний механічний завод""",1950000.0,385000.0,2335000.0
2002,"Державне підприємство Міністерства оборони України ""Євпаторійський авіаційний ремонтний завод""",1250000.0,42500.0,1292500.0
2002,"Державне підприємство Міністерства оборони України ""Запорізький автомобільний ремонтний завод"" (Військова частина А 0652)",475000.0,82500.0,557500.0
2002,"Державне підприємство Міністерства оборони України ""Запорізький державний авіаційний ремонтний завод ""МіГремонт""",4750000.0,185000.0,4935000.0
2002,"Державне підприємство Міністерства оборони України ""Конотопський авіаремонтний завод ""Авіакон""",5950000.0,375000.0,6325000.0
2002,"Державне підприємство Міністерства оборони України ""Одеське авіаційно-ремонтне підприємство ""Одесавіаремсервіс""",9050000.0,605000.0,9655000.0
2002,"Державне підприємство Міністерства оборони України ""Укроборонлізинг""",0.0,5000.0,5000.0
2002,"Державне підприємство Науково-виробничий комплекс ""Прогрес""",2550000.0,245000.0,2795000.0
2002,"Державне підприємство Науково-виробничий комплекс ""Фотоприлад""",5950000.0,905000.0,6855000.0
2002,"Державне підприємство Науково-дослідний центр ""Вертоліт""",685000.0,22500.0,707500.0
2002,"Державне підприємство Науково-дослідний інститут ""Буран""",425000.0,22500.0,447500.0
2002,"Державне підприємство Науково-дослідний інститут радіолокаційних систем ""Квант-Радіолокація""",3350000.0,225000.0,3575000.0
2002,Державне підприємство Український радіотехнічний інститут,355000.0,275000.0,630000.0
2002,"Державне підприємство Центральне конструкторське бюро ""Ізумруд""",205000.0,285000.0,490000.0
2002,Державне підприємство “Антонов”,77500000.0,7550000.0,85050000.0
2002,Державне підприємство “Завод 410 ЦА”,13500000.0,685000.0,14185000.0
2002,Державне підприємство “Спеціалізована зовнішньоторговельна фірма “Укроборонекспорт”,105000.0,0.0,105000.0
2002,Донецький казенний завод хімічних виробів,9150000.0,2050000.0,11200000.0
2002,"Запорізьке державне підприємство ""Радіоприлад""",6550000.0,535000.0,7085000.0
2002,"Казенне підприємство ""Дослідно-проектний центр кораблебудування""",625000.0,22500.0,647500.0
2002,"Казенне підприємство ""Науково-виробничий комплекс ""Іскра""",18500000.0,1250000.0,19750000.0
2002,"Казенне підприємство ""Радіовимірювач""",3050000.0,125000.0,3175000.0
2002,"Казенне підприємство ""Спеціальне конструкторське бюро ""Молнія""",895000.0,905000.0,1800000.0
2002,"Казенне підприємство ""Харківське конструкторське бюро з двигунобудування""",2850000.0,77500.0,2927500.0
2002,"Казенне підприємство ""Харківське конструкторське бюро з машинобудування імені О.О. Морозова""",8750000.0,325000.0,9075000.0
2002,"Казенне підприємство ""Шосткинський казенний завод ""Імпульс""",7250000.0,675000.0,7925000.0
2002,"Казенне підприємство Костянтинівське казенне науково-виробниче підприємство ""Кварсит""",2250000.0,155000.0,2405000.0
2002,"Казенне підприємство Науково-технічний комплекс ""Імпульс""",295000.0,5000.0,300000.0
2002,"Казенне підприємство Шосткинський казенний завод ""Зірка""",7750000.0,435000.0,8185000.0
2002,"Рубіжнянський казенний хімічний завод ""Зоря""",22500000.0,925000.0,23425000.0
2002,"Тернопільське державне науково-технічне підприємство ""Промінь""",765000.0,655000.0,1420000.0
2002,Феодосійський казенний оптичний завод,1950000.0,325000.0,2275000.0
2002,Харківське державне авіаційне орденів Жовтневої революції та Трудового Червоного прапору виробниче підприємство,43500000.0,2950000.0,46450000.0
2002,"Херсонський державний завод ""Палада""",2650000.0,135000.0,2785000.0
2002,Хімічне казенне об'єднання імені Г.І. Петровського,5550000.0,895000.0,6445000.0
2002,"Центральне казенне конструкторське бюро ""Протон""",595000.0,485000.0,1080000.0
2003,"""Львівський державний завод ""ЛОРТА""",4750000.0,345000.0,5095000.0
2003,Ізюмський казенний приладобудівний завод,8450000.0,505000.0,8955000.0
2003,"Державна госпрозрахункова зовнішньоторговельна та інвестиційна фірма ""Укрінмаш""  ",3650000.0,0.0,3650000.0
2003,"Державна компанія з експорту та імпорту продукції і послуг військового та спеціального призначення ""Укрспецекспорт""",14500000.0,0.0,14500000.0
2003,Державне Південне виробничо-технічне підприємство,405000.0,87500.0,492500.0
2003,"Державне виробничо-технічне підприємство ""Граніт""",2550000.0,57500.0,2607500.0
2003,"Державне виробничо-технічне підприємство ""Південавіапромналадка""",0.0,5000.0,5000.0
2003,"Державне госпрозрахункове зовнішньоторговельне підприємство ""Спецтехноекспорт""   ",1250000.0,5000.0,1255000.0
2003,"Державне науково-дослідне підприємство ""Конекс""",575000.0,27500.0,602500.0
2003,"Державне підприємство ""732 Вінницький ремонтний завод""",885000.0,52500.0,937500.0
2003,"Державне підприємство ""Виробниче об'єднання ""Карпати""",435000.0,245000.0,680000.0
2003,"Державне підприємство ""Вінницький авіаційний завод"" - ""ВІАЗ""",1650000.0,105000.0,1755000.0
2003,"Державне підприємство ""Горлівський хімічний завод""",1550000.0,9650000.0,11200000.0
2003,"Державне підприємство ""Державне Київське конструкторське бюро ""Луч""",8150000.0,515000.0,8665000.0
2003,"Державне підприємство ""Дослідно-конструкторське бюро ""Промінь""",0.0,5000.0,5000.0
2003,"Державне підприємство ""Дослідно-конструкторське бюро авіації загального призначення""",87500.0,0.0,87500.0
2003,"Державне підприємство ""Жулянський машинобудівний завод ""Візар""",5750000.0,365000.0,6115000.0
2003,"Державне підприємство ""Завод імені В.О. Малишева"" ",66500000.0,11500000.0,78000000.0
2003,"Державне підприємство ""Закарпатське вертолітне виробниче об'єднання""",385000.0,22500.0,407500.0
2003,"Державне підприємство ""Зовнішньоторговельна фірма ""ТАСКО-експорт""",155000.0,5000.0,160000.0
2003,"Державне підприємство ""Київський науково-дослідний інститут гідроприладів""",1150000.0,5000.0,1155000.0
2003,"Державне підприємство ""Конструкторське бюро радіозв'язку""",1850000.0,715000.0,2565000.0
2003,"Державне підприємство ""Конструкторсько-технологічне бюро ""Судокомпозит""",455000.0,195000.0,650000.0
2003,"Державне підприємство ""Красилівський агрегатний завод""",5350000.0,485000.0,5835000.0
2003,"Державне підприємство ""Кіровоградський ремонтний завод""",895000.0,175000.0,1070000.0
2003,"Державне підприємство ""Львівський бронетанковий ремонтний завод""",6450000.0,315000.0,6765000.0
